,Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange,
Golgari Demons,41,86,98,98,80,0,98,98,0,98,0,98,84,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Golgari Demons,39,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Golgari Demons,23,4,2,2,5,,1,2,,2,,1,2,,,,,,1,,,,,,,,,,,,,,,
Soulflayer Time,47,80,98,90,0,0,0,98,0,98,0,0,98,0,0,98,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,
Soulflayer Time,42,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Soulflayer Time,19,5,1,3,,,,1,,2,,,1,,,1,,1,,,,,,,,,1,,,,,,,
Acererak Combo,46,60,98,98,98,84,98,0,98,0,98,0,0,98,0,0,0,0,0,0,0,98,0,98,0,0,0,0,0,98,0,0,0,
Acererak Combo,37,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Acererak Combo,19,4,1,1,1,2,1,,1,,2,,,1,,,,,,,,1,,1,,,,,,1,,,,
Selesnya Enchantments,43,98,71,98,98,98,98,0,98,98,0,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,
Selesnya Enchantments,24,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Selesnya Enchantments,17,2,3,1,2,2,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,1,
Metalwork Colossus,49,98,98,86,98,98,0,98,0,84,0,0,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,0,0,0,98,
Metalwork Colossus,47,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Metalwork Colossus,17,1,1,4,1,1,,1,,2,,,,,,,,,,,2,,,,1,,,,,,,,1,
Mono White Tokens,50,80,71,0,98,0,98,98,0,0,98,98,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mono White Tokens,38,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mono White Tokens,16,4,5,,1,,1,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,
Orzhov Aggro,45,71,64,0,0,98,98,0,0,0,0,98,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Orzhov Aggro,25,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Aggro,16,5,6,,,1,1,,,,,1,,2,,,,,,,,,,,,,,,,,,,,
Sultai Rona,50,98,80,0,0,0,98,0,98,0,98,0,0,98,98,0,0,0,0,0,98,0,0,0,0,84,0,0,0,0,0,0,0,
Sultai Rona,56,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Sultai Rona,16,1,5,,,,1,,1,,1,,,1,1,,,,,,1,,,,,2,,,,,,,,
Sultai Scapeshift,50,98,86,0,0,84,98,0,0,98,98,0,0,0,98,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sultai Scapeshift,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Sultai Scapeshift,16,2,4,,,2,1,,,1,2,,,,1,,,1,,1,,,,,,,,,,,,,,
Simic Lands,50,98,90,98,98,98,98,0,0,98,0,0,84,0,0,0,0,0,0,0,98,0,98,0,98,0,98,0,0,0,0,0,0,
Simic Lands,63,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Simic Lands,16,2,3,1,1,1,1,,,1,,,2,,,,,,,,1,,1,,1,,1,,,,,,,
Gruul Aggro,50,98,71,0,98,0,0,0,0,0,84,0,0,98,0,98,0,0,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,
Gruul Aggro,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Gruul Aggro,15,1,3,,1,,,,,,2,,,1,,1,,,2,,1,1,,,,,,,,,,,,
Dimir Proft,52,80,98,0,86,0,98,98,0,0,98,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dimir Proft,40,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Dimir Proft,15,4,1,,4,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,
Esper Reanimator,50,80,98,84,0,84,0,0,0,98,0,0,98,0,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,98,
Esper Reanimator,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Esper Reanimator,15,5,1,2,,2,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,1,
Ensoul Artifacts,53,98,90,0,84,98,0,0,0,0,98,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ensoul Artifacts,43,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Ensoul Artifacts,14,1,3,,2,2,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,
Grixis Phoenix,52,84,98,0,98,98,84,0,98,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,
Grixis Phoenix,36,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Grixis Phoenix,14,2,2,,2,1,2,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,
Jund Transmogrify,53,0,0,84,84,0,0,0,98,0,0,0,98,98,98,98,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jund Transmogrify,43,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jund Transmogrify,14,,,2,2,,,,2,,,,1,1,1,1,,,1,2,,,,,,,,,,,,,,
Naya Midrange,53,71,98,71,0,0,0,98,0,98,0,0,0,0,0,98,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,
Naya Midrange,57,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Naya Midrange,14,3,1,3,,,,1,,1,,,,,,1,,,,,,,1,1,,,,,,,,,,
Izzet Prowess,50,98,98,98,84,0,0,98,98,0,0,0,0,98,0,0,98,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,
Izzet Prowess,71,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Izzet Prowess,14,2,1,1,2,,,1,1,,,,,1,,,1,,,,,,,,1,,,,1,,,,,
Elves,56,98,90,0,98,0,0,0,84,0,98,0,0,0,84,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,
Elves,46,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Elves,13,1,3,,2,,,,2,,1,,,,2,,,,,,,2,,,,,,,,,,,,
Azorius Mentor,52,98,80,0,0,98,0,84,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,
Azorius Mentor,31,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Mentor,13,2,4,,,1,,2,,,,,,,,,,1,1,,,,,,,,,,,,,1,,
Temur Company,57,98,98,98,98,98,0,98,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,98,0,98,0,0,0,
Temur Company,58,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Temur Company,12,1,1,1,1,2,,1,,,1,,,,,,,,,1,,,,,,,,1,,1,,,,
Gruul Vehicles,52,98,98,60,0,98,0,0,0,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,
Gruul Vehicles,25,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Gruul Vehicles,12,2,1,4,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,
Dimir Midrange,60,98,98,0,98,98,98,98,98,0,0,0,0,0,98,0,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,
Dimir Midrange,55,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Dimir Midrange,11,1,1,,1,1,1,1,1,,,,,,1,,2,,,,,,,1,,,,,,,,,,
Hardened Scales,55,98,0,98,98,0,98,0,0,98,0,98,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hardened Scales,27,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Hardened Scales,11,2,,1,1,,1,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,
Bring to Light,58,98,98,98,98,84,98,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,
Bring to Light,36,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Bring to Light,11,1,1,1,1,2,2,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,
Neoform,60,98,98,0,0,0,98,0,0,98,0,0,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neoform,55,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Neoform,11,1,1,,,,1,,,2,,,2,,1,1,,,,,,,,,,,,,,,,,,
Jund Citadel,62,84,98,98,0,98,98,98,0,0,0,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jund Citadel,60,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jund Citadel,10,2,1,1,,1,2,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Jund Landfall,62,84,0,0,0,98,0,98,98,0,0,98,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jund Landfall,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jund Landfall,10,2,,,,1,,2,1,,,1,,1,,,2,,,,,,,,,,,,,,,,,
Aclazotz Slasher Combo,62,0,90,0,0,0,98,98,0,0,0,98,0,98,0,0,0,0,0,0,0,98,0,0,0,0,0,0,98,0,0,0,0,
Aclazotz Slasher Combo,60,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Aclazotz Slasher Combo,10,,3,,,,1,1,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,
Orzhov Superfriends,63,84,98,0,84,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,
Orzhov Superfriends,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Superfriends,9,2,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
Azorius Flash,65,98,84,0,0,98,98,0,98,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azorius Flash,56,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Flash,9,1,2,,,1,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,
Selesnya Blink,68,98,0,0,98,98,98,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Selesnya Blink,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Selesnya Blink,8,1,,,1,2,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Azorius Tempo,72,0,0,0,98,98,0,0,98,0,0,98,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azorius Tempo,57,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Tempo,7,,,,1,1,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,
Rakdos Sacrifice,72,0,0,98,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98,0,0,0,0,0,0,
Rakdos Sacrifice,43,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Rakdos Sacrifice,7,,,2,,1,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,
Gruul Bard Class,72,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,0,
Gruul Bard Class,43,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Gruul Bard Class,7,,,,,,2,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Mardu Doom,72,0,98,0,84,84,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mardu Doom,57,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mardu Doom,7,,1,,2,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Mill,58,98,0,0,98,84,98,98,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mill,14,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mill,7,1,,,1,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Mardu Transmogrify,67,0,98,0,0,98,0,84,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mardu Transmogrify,29,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mardu Transmogrify,7,,1,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Dimir Demons,72,90,0,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,
Dimir Demons,57,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Dimir Demons,7,3,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Esper Midrange,74,98,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Esper Midrange,67,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Esper Midrange,6,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Herald,76,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,
Storm Herald,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Storm Herald,6,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
5 Color Superfriends,76,84,0,84,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,
5 Color Superfriends,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
5 Color Superfriends,6,2,,2,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
4 Color Omnath,64,0,98,0,0,0,0,0,98,0,98,98,0,98,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4 Color Omnath,17,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
4 Color Omnath,6,,1,,,,,,1,,1,1,,1,,,,1,,,,,,,,,,,,,,,,
Boros Vehicles,74,0,98,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boros Vehicles,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Vehicles,6,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Golgari Citadel,76,0,98,98,0,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,
Golgari Citadel,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Golgari Citadel,6,,1,1,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
Grinning Ignus Combo,76,0,0,0,0,0,0,0,98,0,0,98,0,0,0,0,0,98,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,
Grinning Ignus Combo,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Grinning Ignus Combo,6,,,,,,,,1,,,2,,,,,,1,,,,1,,,,,,,,,,,,
Bant Humans,74,98,98,0,0,98,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bant Humans,67,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Bant Humans,6,1,1,,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Mono Blue Jewel,76,98,0,98,98,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mono Blue Jewel,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mono Blue Jewel,6,1,,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Dredgeless Dredge,80,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,
Dredgeless Dredge,40,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Dredgeless Dredge,5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Simic Company,80,98,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Simic Company,60,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Simic Company,5,2,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
Gruul Company,80,98,98,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gruul Company,40,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Gruul Company,5,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boros Tokens,80,90,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,
Boros Tokens,40,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Tokens,5,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
4 Color Greasefang,71,98,98,0,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4 Color Greasefang,20,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
4 Color Greasefang,5,1,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Mentor,71,0,0,0,98,0,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,
Jeskai Mentor,20,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jeskai Mentor,5,,,,1,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Thassa's Bargain,80,98,0,0,0,98,0,98,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thassa's Bargain,40,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Thassa's Bargain,5,1,,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,
Azorius Tokens,52,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azorius Tokens,100,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Tokens,5,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Mardu Virtuoso,80,98,0,0,0,0,0,98,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,
Mardu Virtuoso,60,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mardu Virtuoso,5,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,
4 Color Zur,80,0,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4 Color Zur,60,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
4 Color Zur,5,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azorius Cauldron,71,98,0,0,98,84,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azorius Cauldron,20,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Cauldron,5,1,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Mono Green Stompy,80,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,
Mono Green Stompy,25,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mono Green Stompy,4,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
Azorius Midrange,86,0,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azorius Midrange,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Midrange,4,,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Orzhov Control,80,0,98,0,0,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Orzhov Control,25,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Control,4,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
Jeskai Fires,80,84,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,
Jeskai Fires,25,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jeskai Fires,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Boros Midrange,80,0,0,0,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,
Boros Midrange,75,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Midrange,4,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
5 Color Yorion,60,0,0,0,0,98,0,0,0,0,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5 Color Yorion,100,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
5 Color Yorion,4,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
Bant Blink,80,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,98,0,0,
Bant Blink,25,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Bant Blink,4,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
4 Color Legends,80,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,
4 Color Legends,25,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
4 Color Legends,4,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Dimir Faeries,86,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,98,0,0,0,0,0,0,
Dimir Faeries,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
